step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated,episode,terminal_observation
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,,,
5.0,0,0.0,0.0,12.365808371096406,0,0.0,0.8967919870139905,0,0.0,False,,
10.0,0,0.0,0.0,11.846221482506872,0,0.0,0.8652343496429649,0,0.0,False,,
15.0,5,8.0,0.4444444444444444,5.102220802184599,5,8.0,0.32116878747144606,5,8.0,False,,
20.0,10,56.0,3.111111111111111,5.196305056533839,10,56.0,0.32628765405858706,10,56.0,False,,
25.0,6,66.0,2.75,5.436443414400369,6,81.0,0.3278477370762336,6,81.0,False,,
30.0,12,120.0,5.454545454545454,5.328908133646066,12,120.0,0.2435060970948448,12,120.0,False,,
35.0,14,186.0,7.153846153846154,4.048641833068176,14,186.0,0.16511788949303183,14,186.0,False,,
40.0,18,275.0,9.821428571428571,3.3838742154966424,18,275.0,0.248706603713532,18,275.0,False,,
45.0,22,377.0,11.78125,3.657662067320175,22,377.0,0.2545826540078437,22,377.0,False,,
50.0,24,491.0,14.441176470588236,2.5676259123794867,24,491.0,0.11285030069748837,24,491.0,False,,
55.0,28,624.0,16.42105263157895,3.0454326639279365,28,624.0,0.14911878622153119,28,624.0,False,,
60.0,30,766.0,20.7027027027027,1.2782142056352925,30,766.0,0.020820128707595358,30,766.0,False,,
65.0,34,932.0,23.3,1.7443388489830298,34,932.0,0.1269957868728249,34,932.0,False,,
70.0,35,1103.0,27.575,0.10195418098338405,35,1103.0,0.0072070683730562305,35,1103.0,False,,
75.0,40,1299.0,24.98076923076923,2.9724359876430198,40,1299.0,0.2088739114118276,40,1299.0,False,,
80.0,42,1501.0,28.865384615384617,1.7286339947702294,42,1501.0,0.12139666517704395,42,1501.0,False,,
85.0,46,1727.0,29.775862068965516,1.7725894384630767,46,1727.0,0.0979987202349231,46,1727.0,False,,
90.0,51,1972.0,34.0,1.3340383104332756,51,1972.0,0.033843787126082825,51,1972.0,False,,
95.0,54,2235.0,39.21052631578947,0.6591777003614139,54,2235.0,0.00014443892970263282,54,2235.0,False,,
