step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,TimeLimit.truncated
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,
5.0,0,0.0,0.0,12.365808371096406,0,0.0,0.8967919870139905,0,0.0,
10.0,0,0.0,0.0,11.846221482506872,0,0.0,0.8652343496429649,0,0.0,False
15.0,4,5.0,0.2777777777777778,4.916973385127806,4,5.0,0.32358496689114485,4,5.0,False
20.0,10,53.0,2.9444444444444446,5.434447497633108,10,53.0,0.3292710586314459,10,53.0,False
25.0,6,60.0,2.5,5.833513718695566,6,76.0,0.3517696568614887,6,76.0,False
30.0,8,97.0,4.409090909090909,7.520450396366615,8,97.0,0.3780148841758321,8,97.0,False
35.0,8,137.0,5.269230769230769,8.064493843798118,8,137.0,0.2806742936362504,8,137.0,False
40.0,8,133.0,4.75,8.429349826407105,8,133.0,0.4778239410461747,8,133.0,False
45.0,8,173.0,6.653846153846154,6.678230446958161,8,173.0,0.4095142095485688,8,173.0,False
50.0,9,89.0,3.423076923076923,4.946446249714179,9,154.0,0.29034806899801385,9,154.0,False
55.0,11,141.0,5.035714285714286,5.584222032486662,11,141.0,0.28242094009332186,11,141.0,False
