seed,total_arrived,total_tyre_pm,mean_stopped,mean_total_wait,mean_avg_wait,mean_avg_speed
23423,2179,89343.9533406096,60.669444444444444,2000.2327777777778,22.752341930464326,2.299440278798277
23424,2180,89151.72682027197,60.34444444444444,1989.8677777777777,22.731830900802414,2.3010917906496022
23425,2180,88947.35828342802,60.08,1982.0491666666667,22.664895442562614,2.318967001482701
23426,2178,89725.71722724444,60.825,2002.8330555555556,22.67665815363027,2.29816137178716
23427,2177,88697.0227690848,60.51416666666667,1997.1919444444445,22.750271548819846,2.2986184306781685
23428,2187,89566.42354958288,60.11194444444445,1981.1180555555557,22.657829679480344,2.3179552909126766
23429,2183,89646.76676196327,60.56527777777778,1993.268611111111,22.669446555703068,2.3014839868283787
23430,2180,89108.82247395125,60.2275,1986.4894444444444,22.678256256259516,2.312260343517826
23431,2181,89688.73853361218,60.72527777777778,1998.351111111111,22.69325278003685,2.2916187354409763
23432,2187,89310.59318056502,60.17388888888889,1984.431388888889,22.657016149865772,2.324050358325706
23433,2179,89746.97542724418,60.836666666666666,1999.578888888889,22.651538754842818,2.284259546067156
23434,2179,89067.84890164761,60.46388888888889,1996.773888888889,22.75978583987597,2.3082030203365957
23435,2181,89476.150795873,60.50277777777778,1992.5861111111112,22.64972661145913,2.3104496300244555
23436,2184,89020.75363169164,59.94083333333333,1973.0341666666666,22.601020709276487,2.3186122002350795
23437,2185,89099.14968088939,60.22388888888889,1985.5527777777777,22.7025570151021,2.3107683093806255
23438,2178,89420.07444617346,60.57472222222222,1996.7394444444444,22.7059688732082,2.2894689952318905
23439,2186,89287.85786345818,60.3575,1985.4466666666667,22.617027388852495,2.3161420344642476
23440,2185,89936.71582371718,60.735277777777775,1995.7277777777779,22.631220775798585,2.2916662083714674
23441,2186,90281.53264050196,61.08222222222222,2005.1280555555556,22.633775724477122,2.2896470852425805
23442,2177,89147.76727328927,60.57055555555556,1999.4247222222223,22.745764027319424,2.294081050780557
23443,2182,89938.64031700024,60.790277777777774,2000.9975,22.674414843223975,2.2873858698015295
23444,2184,90239.91346773943,60.7475,2002.2008333333333,22.708619954170274,2.3095257685477075
23445,2186,89855.10323527992,60.66638888888889,1993.9458333333334,22.67049089213956,2.280623757906058
23446,2187,90443.54858906043,60.82194444444445,1998.0683333333334,22.663344383430772,2.2756493379998037
23447,2175,89095.6816791995,60.56444444444445,1996.2869444444445,22.6948855642066,2.2941508516365907
23448,2176,89153.2501510353,60.495,1996.8938888888888,22.808493936593724,2.291013150523891
23449,2183,88897.87099276582,60.35027777777778,1992.3836111111111,22.789684909025834,2.299220031165112
23450,2172,89474.15017043136,61.07833333333333,2013.2288888888888,22.829161454274857,2.2556411411955213
23451,2178,89110.85966681848,60.32,1991.4283333333333,22.765292369519663,2.311752343194898
23452,2173,89564.99713644608,60.93888888888889,2010.0769444444445,22.77426450170846,2.27995737183319
